Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Adj Close
2016-01-04 00:00:00-05:00,37.685548699075845,37.88266526319866,37.28235028935955,37.87370681762695,21638600,0.0,0.0,0.0,37.87370681762695
2016-01-05 00:00:00-05:00,37.990175264353184,38.07977336391244,37.604897283941256,37.7751350402832,16067200,0.0,0.0,0.0,37.7751350402832
2016-01-06 00:00:00-05:00,37.219628867164474,37.56010446733404,37.085228265342764,37.309226989746094,13858400,0.0,0.0,0.0,37.309226989746094
2016-01-07 00:00:00-05:00,36.54761693281093,37.02249293001215,36.18921776114538,36.20713806152344,16840700,0.0,0.0,0.0,36.20713806152344
2016-01-08 00:00:00-05:00,36.52075182125939,36.64619398246255,35.87563779624729,35.92043685913086,19233100,0.0,0.0,0.0,35.92043685913086
2016-01-11 00:00:00-05:00,36.171305466697945,36.31466448350479,35.70538780758855,36.153385162353516,19135100,0.0,0.0,0.0,36.153385162353516
2016-01-12 00:00:00-05:00,36.53865929637779,36.66409799557319,36.11754415164297,36.58346176147461,15841600,0.0,0.0,0.0,36.58346176147461
2016-01-13 00:00:00-05:00,36.852271748494374,36.852271748494374,35.53515813193369,35.597877502441406,21962300,0.0,0.0,0.0,35.597877502441406
2016-01-14 00:00:00-05:00,35.750184247424556,36.547618857530786,35.320103851597295,36.269859313964844,19795600,0.0,0.0,0.0,36.269859313964844
2016-01-15 00:00:00-05:00,35.08714524310094,35.5889034044278,34.818347570869626,35.2484245300293,20177800,0.0,0.0,0.0,35.2484245300293
2016-01-19 00:00:00-05:00,35.6605950736881,35.72331444103129,34.970678614963745,35.284278869628906,19658800,0.0,0.0,0.0,35.284278869628906
2016-01-20 00:00:00-05:00,34.68395683782159,35.355952917480515,34.07468011882826,35.00651550292969,29631800,0.0,0.0,0.0,35.00651550292969
2016-01-21 00:00:00-05:00,35.203643798828125,35.71436066710141,34.76460475205742,35.203643798828125,22135700,0.0,0.0,0.0,35.203643798828125
2016-01-22 00:00:00-05:00,35.87562143081963,36.18921814590021,35.82186052911388,36.180259704589844,11248200,0.0,0.0,0.0,36.180259704589844
2016-01-25 00:00:00-05:00,35.98315015327455,36.29674695844306,35.696432097706534,35.759151458740234,10480600,0.0,0.0,0.0,35.759151458740234
2016-01-26 00:00:00-05:00,35.90250319599825,36.189221193344004,35.678504546950116,36.10858154296875,11473700,0.0,0.0,0.0,36.10858154296875
2016-01-27 00:00:00-05:00,35.81290745322151,36.027944256365195,35.20363081440048,35.36491012573242,18022400,0.0,0.0,0.0,35.36491012573242
2016-01-28 00:00:00-05:00,35.88458443277435,35.9562656441588,35.39178806732531,35.82186508178711,17566800,0.0,0.0,0.0,35.82186508178711
