Date,XLK,XLF,XLE,XLV,XLY,XLI,XLU,XLB
2016-01-15 00:00:00-05:00,-0.018708356241239232,-0.030769248371249724,-0.030330084664263235,-0.016906681766674647,-0.028664805931415627,-0.02152050274003947,0.006959302088738628,-0.045181751722600305
2016-01-22 00:00:00-05:00,0.026436221958422212,-0.00653590527783765,0.025575159613635545,0.014655176732047526,0.025314999096121227,-0.00020555754370632506,0.00898420296016944,0.0067974473931449175
2016-01-29 00:00:00-05:00,0.0212982572082816,0.020676660336320207,0.04431298049149013,-0.020339061147515602,0.010912318002467059,0.027754951427975127,0.03698631932764762,0.0067511347679456435
2016-02-05 00:00:00-05:00,-0.042192694116723994,-0.03545096646295798,-0.03899680824427132,-0.031141856189897732,-0.053298686779805315,0.001000056613803535,0.025319220734345782,0.04745979362109787
2016-02-12 00:00:00-05:00,-0.005822429011021368,-0.02195703618801026,-0.011798410501842271,-0.00046582826825136703,-0.00527427490256982,-0.007394001246066262,-0.021688047514789477,-0.01649897581477855
2016-02-19 00:00:00-05:00,0.0353962239112966,0.02391401162621687,0.027677275915698463,0.0242349834452249,0.04227007423124407,0.033219400520197784,0.014047664598184406,0.02028086349057623
2016-02-26 00:00:00-05:00,0.014756221565412897,0.016205783372152283,0.007393234706662755,0.020779697783228412,0.028732435406422452,0.02201847147000069,-0.0006491768117804497,0.03214735005918756
2016-03-04 00:00:00-05:00,0.028114563269891812,0.04502807435206413,0.06517541419453643,0.0016345026453326028,0.02525764298045763,0.025357488132573103,0.02035972610201786,0.0332856271007671
2016-03-11 00:00:00-05:00,0.01060801742663986,0.009425117514484604,0.02296582309259887,0.017504565230152425,0.007559562294094491,0.004834692635290017,0.02207574769683096,0.02162898060267282
2016-03-18 00:00:00-04:00,0.021935210923510917,0.01515769496803454,0.025390042443724337,-0.022017838941118417,0.014378014696888597,0.034704176730567804,0.01756263749179099,0.02652355960122299
2016-03-25 00:00:00-04:00,0.0006882301755792852,-0.018477720894454763,-0.02598836044311459,0.008228305397198321,-0.006914926519190123,-0.009167751655134615,0.0057580633632965394,-0.01915432219543134
2016-04-01 00:00:00-04:00,0.02475924626045578,0.01748089070718173,-0.012613303476108784,0.017213604021532936,0.024242060581671554,0.01106674696278298,0.018400848178201423,0.015488192346954976
2016-04-08 00:00:00-04:00,-0.018120967427064483,-0.02863447074607839,0.021454032278587887,0.011670341529866679,-0.01963991108417762,-0.018302280848205066,-0.019273434710509352,-0.01591526384674191
2016-04-15 00:00:00-04:00,0.010253084167713755,0.03854886070091745,0.01875950035727314,0.00966097828378265,0.02080360796506353,0.024492643517004087,0.0008188460503211203,0.033917449749468975
2016-04-22 00:00:00-04:00,-0.02029757303090829,0.02838432721289519,0.05508313471072768,0.026421140827733947,-0.0003771139751694852,0.006422791009520923,-0.03149899185079397,0.02563545032082759
2016-04-29 00:00:00-04:00,-0.03015665028694503,-0.010191167077179708,0.00686140426955717,-0.02894138675210356,-0.0032720295473540606,-0.00443170729490272,0.022597781458167265,-0.0023301794563440614
2016-05-06 00:00:00-04:00,0.0028483222167523525,-0.0077217422523689905,-0.033036704007700646,-0.008740253872147719,0.0010102061582661914,-0.009259272607690217,0.008467625596432882,-0.019957131460430322
2016-05-13 00:00:00-04:00,-0.0009468777898004044,-0.01080865698679101,-0.004290074277932376,-0.000578052009756802,-0.014757879731871704,-0.010603826017448914,0.011468114184439049,-0.004549641287476813
2016-05-20 00:00:00-04:00,0.012319572461449768,0.014423578262566794,0.01800271251246799,0.00795464668356649,-0.005249081812698342,-0.0003634260091445185,-0.022271488727194422,0.007182026583763879
2016-05-27 00:00:00-04:00,0.032061400921668204,0.02585058509321647,0.014661494499827343,0.021380449471178453,0.020849449082766647,0.016354721580510212,0.01118245085529912,0.019446569765281696
2016-06-03 00:00:00-04:00,-0.0036278572329443426,-0.012600173251060665,-0.00878888832453073,0.0155939487568717,-0.002647580113689041,0.0010728825066188552,0.025598908515634733,0.010173635079844479
2016-06-10 00:00:00-04:00,0.0004550369066744775,-0.014886958057012789,0.012473708766298275,-0.00705441607874735,-0.007837019490251729,0.008572897302046911,0.009784111061286405,0.0016786577220571086
2016-06-17 00:00:00-04:00,-0.01593273142243723,-0.018527702726816142,-0.0005871739212141014,-0.020033282995107538,-0.003611040793204623,-0.007663374189741057,0.007781215474549352,-0.006367092198800162
2016-06-24 00:00:00-04:00,-0.01788612265589573,-0.023441055985434667,-0.0016446710284361288,-0.010704757494260253,-0.022584560733241776,-0.024223965974909945,-0.002769522458609841,-0.025000237451373364
2016-07-01 00:00:00-04:00,0.0281456506286899,0.029891618846263457,0.02725391386938658,0.04111963336719704,0.035447074818168556,0.03328423862414165,0.04106308572308337,0.007388405034139289
2016-07-08 00:00:00-04:00,0.015182906097619853,0.007915648147983845,-0.01297364279037172,0.021202596549199537,0.022188545120446657,0.018508759052730195,0.0011437867112886746,0.012942213254637958
2016-07-15 00:00:00-04:00,0.019940856048375144,0.02617797233922725,0.022448343909960533,0.005292682777190416,0.004465120660055222,0.025511220190872264,-0.010278151754913978,0.03875606294090295
2016-07-22 00:00:00-04:00,0.01821860888321325,0.00680275086215798,-0.013144507769177971,0.01228397646702506,0.007656564514481046,-0.006815322956325365,0.014615135261125456,-0.002459841885527392
2016-07-29 00:00:00-04:00,0.01352805794385703,-0.001267374706199198,-0.013758501526934253,0.0028003323658440937,0.0002445912243427273,-0.004289123004766582,-0.012130141961202545,0.0006162418796853419
